CODE;ENGLISH;;;;;;;;;;;;x;
in_bankrupcy;파산;;;;;;;;;;;;x;
in_bankrupcy_desc;차관 할부금을 상환하지 못해 공식적으로 파산했습니다.;;;;;;;;;;;;x;
gas;천연가스;;;;;;;;;;;;x;
TOPBAR_AVG_LITERACY;쬨대학교육쬦을 받은 주민들의 비율은 쬨$AVG$쬦%입니다.;;;;;;;;;;;;x;
TRIGMOD_HEADER;내각 보고서;;;;;;;;;;;;x;
party_communist_0_CYR;공산당;;;;;;;;;;;;x;
party_nationalist_0_CYR;카다피주의자당;;;;;;;;;;;;x;
party_traditionalist_0_CYR;정의보수당;;;;;;;;;;;;x;
party_conservative_0_CYR;국민무력보수연합;;;;;;;;;;;;x;
party_liberal_0_CYR;국민무력동맹;;;;;;;;;;;;x;
party_progressive_0_CYR;국민전진당;;;;;;;;;;;;x;
party_populist_1_CYR;대중당;;;;;;;;;;;;x;
party_socialist_0_CYR;본국연합;;;;;;;;;;;;x;
fort;군사기지;;;;;;;;;;;;x;
fort_short;군사기지;;;;;;;;;;;;x;
CNG;DR Congo;;;;;;;;;;;;x;
UBD;발트;;;;;;;;;;;;x;
UBD_ADJ;발트령;;;;;;;;;;;;x;
PBC;페루-볼리비아 연방;;;;;;;;;;;;x;
PBC_ADJ;페루-볼리비아령;;;;;;;;;;;;x;
clothes;Everyday Clothes;;;;;;;;;;;;x;
clothes_factory;평상복 공장;;;;;;;;;;;;x;
clothes_factory_desc;평상복을 생산합니다.;;;;;;;;;;;;x;
clothes_footwear;예복;;;;;;;;;;;;x;
clothes_footwear_factory;예복 공장;;;;;;;;;;;;x;
clothes_footwear_factory_desc;의복 생산이 장인 개개인의 작업에서 의류를 대량으로 생산하는 공장으로 옮겨갔습니다.;;;;;;;;;;;;x;
