CODE;ENGLISH;;;;;;;;;;;;x;
IMP;The Commonwealth of Nations;;;;;;;;;;;;x;
IMP_ADJ;영연방령;;;;;;;;;;;;x;
IMP_hms_government;The British Commonwealth;;;;;;;;;;;;x;
IMP_absolute_monarchy;The British Commonwealth;;;;;;;;;;;;x;
IMP_hms_government_ADJ;영국령;;;;;;;;;;;;x;
IMP_absolute_monarchy_ADJ;영국령;;;;;;;;;;;;x;
new_zealander;New Zealander;;;;;;;;;;;;x;
white_american;백인계 아메리카;;;;;;;;;;;;x;
IMP_tech_school;영연방 왕국;;;;;;;;;;;;x;
IMP_ambition_title;캐나다-오스트레일리아-뉴질랜드-영국;;;;;;;;;;;;x;
IMP_ambition_desc;캔저크(캐나다-오스트레일리아-뉴질랜드-영국)의 일부로서 이들과 협력해야 합니다. 국내 시장도 좋지만, 이 세계 시장에 참여 더 다양한 시장에 쉽게 진출할 수 있을 것입니다. 게다가 크리켓을 아무도 이해하지 못합니다.;;;;;;;;;;;;x;
end_IMP_ambition_title;앵글로회의론;;;;;;;;;;;;x;
end_IMP_ambition_desc;캔저크(캐나다-오스트레일리아-뉴질랜드-영국)에 속하는 다른 나라들이 우리나라와 많은 양의 무역을 하기에는 너무 멀다는 이유로 무역협정을 갱신하지 말자는 권고가 있습니다.;;;;;;;;;;;;x;
IMP_single_market_title;캔저크 단일시장;;;;;;;;;;;;x;
IMP_single_market_desc;단일화된 캔저크(캐나다-오스트레일리아-뉴질랜드-영국) 시장은 영연방 회원국들 간의 인구, 상품 및 자본의 자유로운 흐름을 보장하기 위해 노력합니다.;;;;;;;;;;;;x;
IMP_currency_union_title;캔저크 통화연합;;;;;;;;;;;;x;
IMP_currency_union_desc;$COUNTRY$의 통화 가치에 고정된 단일 화폐는 해외 상품과의 경제적 통합과 경쟁력을 돕습니다.;;;;;;;;;;;;x;
IMP_political_union_title;영연방;;;;;;;;;;;;x;
IMP_political_union_desc;캔저크(캐나다-오스트레일리아-뉴질랜드-영국)의 단일 정치체제 수립을 지원하며, 잠정적으로 영연방을 지원합니다. 제국 연합으로 불렸던 영국과 그 식민지로 이루어졌던 연방은 세계대전을 통해 민족주의가 성장하면서 사라졌지만, $COUNTRY$의 캔저크 정책으로 인하여 다시 한 번 주목을 받고 있습니다.;;;;;;;;;;;;x;
IMP_defence_union_title;영연방 방위연합;;;;;;;;;;;;x;
IMP_defence_union_desc;영연방의 지리적 현실은 방어가 독특한 도전을 필요로 한다는 것을 의미합니다. 왕립 해군과 공군을 하나의 지휘구조로 통합함으로써, 영연방은 7개 대륙을 모두 방어할 수 있어야 합니다.;;;;;;;;;;;;x;
IMP_form_union_title;영연방 결성;;;;;;;;;;;;x;
IMP_form_union_desc;보잘것없던 캔저크(캐나다-오스트레일리아-뉴질랜드-영국) 시장이 거의 완전한 연합으로 성장했습니다. 영국 의회를 이양하고 웨스트민스터를 진정한 영연방 정부로 굳힘으로써, 영연방은 새로운 강대국으로 자리매김할 수 있습니다.;;;;;;;;;;;;x;
IMP_enlarge_union_title;영연방 회원국 가입 승인;;;;;;;;;;;;x;
IMP_enlarge_union_desc;또다른 잠재적 영연방 후보국이 관심을 표명했습니다. 그들과의 통합은 우리의 성공을 의미합니다.;;;;;;;;;;;;x;
